[02:54:27] [INFO] received Windows console close event; shutting log-core down
[02:56:14] [INFO] received Windows console close event; shutting log-core down
[02:57:50] [INFO] received Windows console close event; shutting log-core down
[02:58:44] [INFO] received Windows console close event; shutting log-core down
[03:02:19] [INFO] received Windows console close event; shutting log-core down
[03:04:48] [INFO] received Windows console close event; shutting log-core down
[03:06:03] [INFO] received Windows console close event; shutting log-core down
[03:47:23] [INFO] received Windows console close event; shutting log-core down
[03:50:54] [INFO] received Windows console close event; shutting log-core down
[03:51:44] [INFO] received Windows console close event; shutting log-core down
[03:54:12] [INFO] received Windows console close event; shutting log-core down
[03:55:31] [INFO] received Windows console close event; shutting log-core down
[03:58:31] [INFO] received Windows console close event; shutting log-core down
[04:04:45] [INFO] received Windows console close event; shutting log-core down
[04:07:07] [INFO] received Windows console close event; shutting log-core down
[04:24:05] [INFO] received Windows console close event; shutting log-core down
[04:29:27] [INFO] received Windows console close event; shutting log-core down
[04:33:49] [INFO] received Windows console close event; shutting log-core down
[17:20:24] [INFO] received Windows console close event; shutting log-core down
[17:43:37] [INFO] received Windows console close event; shutting log-core down
[17:58:13] [INFO] received Windows console close event; shutting log-core down
[23:28:51] [INFO] received Windows console close event; shutting log-core down
[23:33:57] [INFO] received Windows console close event; shutting log-core down
[23:42:28] [INFO] received Windows console close event; shutting log-core down
[23:51:27] [INFO] received Windows console close event; shutting log-core down
[23:57:21] [INFO] received Windows console close event; shutting log-core down
[23:58:46] [INFO] received Windows console close event; shutting log-core down
[00:06:00] [INFO] received Windows console close event; shutting log-core down
[00:09:14] [INFO] received Windows console close event; shutting log-core down
[00:19:00] [INFO] received Windows console close event; shutting log-core down
[00:19:50] [INFO] received Windows console close event; shutting log-core down
[00:53:15] [INFO] received Windows console close event; shutting log-core down
[01:17:53] [INFO] received Windows console close event; shutting log-core down
[01:19:53] [INFO] received Windows console close event; shutting log-core down
[01:20:45] [INFO] received Windows console close event; shutting log-core down
[01:23:03] [INFO] received Windows console close event; shutting log-core down
[01:30:04] [INFO] received Windows console close event; shutting log-core down
[01:33:43] [INFO] received Windows console close event; shutting log-core down
[01:36:51] [INFO] received Windows console close event; shutting log-core down
[01:38:56] [INFO] received Windows console close event; shutting log-core down
[01:39:40] [INFO] received Windows console close event; shutting log-core down
[12:36:51] [INFO] received Windows console close event; shutting log-core down
[12:46:30] [INFO] received Windows console close event; shutting log-core down
[12:50:01] [INFO] received Windows console close event; shutting log-core down
[12:51:19] [INFO] received Windows console close event; shutting log-core down
[12:53:42] [INFO] received Windows console close event; shutting log-core down
[13:04:30] [INFO] received Windows console close event; shutting log-core down
[13:17:28] [INFO] received Windows console close event; shutting log-core down
[13:24:35] [INFO] received Windows console close event; shutting log-core down
[13:38:18] [INFO] received Windows console close event; shutting log-core down
[13:51:19] [INFO] received Windows console close event; shutting log-core down
[13:56:51] [INFO] received Windows console close event; shutting log-core down
[14:14:02] [INFO] received Windows console close event; shutting log-core down
[14:14:05] [INFO] received Windows console close event; shutting log-core down
[14:19:17] [INFO] received Windows console close event; shutting log-core down
[14:21:36] [INFO] received Windows console close event; shutting log-core down
[14:23:03] [INFO] received Windows console close event; shutting log-core down
[14:32:25] [INFO] received Windows console close event; shutting log-core down
[14:33:46] [INFO] received Windows console close event; shutting log-core down
[14:35:25] [INFO] received Windows console close event; shutting log-core down
[14:38:23] [INFO] received Windows console close event; shutting log-core down
[14:40:24] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[14:45:53] [INFO] received Windows console close event; shutting log-core down
[14:47:41] [INFO] received Windows console close event; shutting log-core down
[14:49:41] [INFO] received Windows console close event; shutting log-core down
[14:56:02] [INFO] received Windows console close event; shutting log-core down
[15:00:59] [INFO] received Windows console close event; shutting log-core down
[15:11:51] [INFO] received Windows console close event; shutting log-core down
[15:24:17] [INFO] received Windows console close event; shutting log-core down
[15:26:45] [INFO] received Windows console close event; shutting log-core down
[15:31:05] [INFO] received Windows console close event; shutting log-core down
[15:41:24] [INFO] received Windows console close event; shutting log-core down
[15:44:26] [INFO] received Windows console close event; shutting log-core down
[15:46:45] [INFO] received Windows console close event; shutting log-core down
[15:56:47] [INFO] received Windows console close event; shutting log-core down
[15:58:40] [INFO] received Windows console close event; shutting log-core down
[16:00:06] [INFO] received Windows console close event; shutting log-core down
[16:02:18] [INFO] received Windows console close event; shutting log-core down
[16:05:39] [INFO] received Windows console close event; shutting log-core down
[16:06:21] [INFO] received Windows console close event; shutting log-core down
[16:07:39] [INFO] received Windows console close event; shutting log-core down
[16:09:47] [INFO] received Windows console close event; shutting log-core down
[16:12:07] [INFO] received Windows console close event; shutting log-core down
[16:13:25] [INFO] received Windows console close event; shutting log-core down
[16:20:07] [INFO] received Windows console close event; shutting log-core down
[16:21:03] [INFO] received Windows console close event; shutting log-core down
[16:28:52] [INFO] received Windows console close event; shutting log-core down
[16:32:17] [INFO] received Windows console close event; shutting log-core down
[16:43:59] [INFO] received Windows console close event; shutting log-core down
[16:44:49] [INFO] received Windows console close event; shutting log-core down
